,time,open,high,low,close,tick_volume,spread,real_volume
3834,2022-04-18,1.08139,1.08158,1.07698,1.078,57366,1,0
3835,2022-04-19,1.07797,1.08146,1.07611,1.07941,100093,1,0
3836,2022-04-20,1.07942,1.08671,1.07839,1.08494,104888,1,0
3837,2022-04-21,1.08493,1.09362,1.08235,1.08349,112799,1,0
3838,2022-04-22,1.08349,1.08516,1.07707,1.0796000000000001,96572,1,0
3839,2022-04-24,1.0806499999999999,1.08138,1.07958,1.08092,5863,1,0
3840,2022-04-25,1.08093,1.08119,1.06967,1.07125,131859,1,0
3841,2022-04-26,1.07126,1.07387,1.06349,1.06425,109809,1,0
3842,2022-04-27,1.06425,1.06548,1.05145,1.05543,121430,1,0
3843,2022-04-28,1.05543,1.05647,1.04713,1.05028,142843,1,0
3844,2022-04-29,1.05029,1.05928,1.0502,1.05413,118658,1,0
3845,2022-05-01,1.05585,1.05585,1.05343,1.05348,6425,1,0
3846,2022-05-02,1.05346,1.05683,1.04903,1.05095,94278,1,0
3847,2022-05-03,1.05095,1.05776,1.04922,1.05252,97491,0,0
3848,2022-05-04,1.05251,1.06309,1.0506,1.06204,122376,1,0
3849,2022-05-05,1.06205,1.06419,1.04926,1.05393,145867,0,0
3850,2022-05-06,1.05395,1.05989,1.04826,1.05452,165061,1,0
3851,2022-05-08,1.05393,1.05421,1.05307,1.05321,3639,1,0
3852,2022-05-09,1.05319,1.05925,1.04951,1.05633,124995,1,0
3853,2022-05-10,1.05634,1.05854,1.05239,1.0529,136484,1,0
3854,2022-05-11,1.05289,1.05771,1.0502,1.05117,135747,1,0
3855,2022-05-12,1.05118,1.05293,1.0354,1.03784,145090,1,0
3856,2022-05-13,1.03785,1.04197,1.03495,1.04067,106160,1,0
3857,2022-05-15,1.04025,1.04142,1.03945,1.03978,4056,1,0
3858,2022-05-16,1.03984,1.04431,1.0389,1.0439,96217,1,0
3859,2022-05-17,1.04391,1.05557,1.04319,1.05488,118841,1,0
3860,2022-05-18,1.05488,1.05637,1.046,1.04731,106269,1,0
3861,2022-05-19,1.04734,1.06071,1.04651,1.05794,150271,1,0
3862,2022-05-20,1.05793,1.0599,1.05326,1.05598,104826,1,0
3863,2022-05-22,1.05595,1.05779,1.05522,1.05688,6242,1,0
3864,2022-05-23,1.05688,1.06974,1.05679,1.06837,78457,1,0
3865,2022-05-24,1.06836,1.07485,1.06608,1.07326,85497,1,0
3866,2022-05-25,1.07327,1.07367,1.06422,1.06869,90163,1,0
3867,2022-05-26,1.06868,1.07345,1.06624,1.07324,76215,1,0
3868,2022-05-27,1.07325,1.07649,1.06969,1.07343,72253,1,0
3869,2022-05-29,1.0731600000000001,1.07359,1.0723799999999999,1.07293,3168,1,0
3870,2022-05-30,1.07294,1.07869,1.07268,1.07729,70428,1,0
3871,2022-05-31,1.07729,1.07746,1.06789,1.0734,131210,1,0
3872,2022-06-01,1.07346,1.07393,1.06271,1.0651,105477,1,0
3873,2022-06-02,1.06509,1.07513,1.06448,1.07501,98014,1,0
3874,2022-06-03,1.07501,1.07645,1.07041,1.07196,88160,1,0
3875,2022-06-05,1.07152,1.07297,1.07142,1.07253,3770,1,0
3876,2022-06-06,1.07257,1.07521,1.0684,1.06895,83444,1,0
3877,2022-06-07,1.06897,1.0714299999999999,1.0652,1.06974,109404,1,0
3878,2022-06-08,1.06976,1.07484,1.06713,1.07168,103239,1,0
3879,2022-06-09,1.07168,1.07741,1.0611,1.06191,126575,1,0
3880,2022-06-10,1.0619,1.06422,1.05058,1.0514000000000001,130365,1,0
3881,2022-06-12,1.05151,1.05202,1.04865,1.04907,8395,1,0
3882,2022-06-13,1.04906,1.04956,1.03997,1.04149,153455,1,0
3883,2022-06-14,1.04148,1.04848,1.03967,1.04368,155485,1,0
3884,2022-06-15,1.04367,1.05078,1.0359,1.04574,200868,1,0
3885,2022-06-16,1.04574,1.06014,1.03808,1.05465,196997,0,0
3886,2022-06-17,1.05465,1.05521,1.04443,1.04935,166949,1,0
3887,2022-06-19,1.04744,1.0493,1.04743,1.049,6105,1,0
3888,2022-06-20,1.049,1.05459,1.04851,1.05174,103111,1,0
3889,2022-06-21,1.05174,1.05826,1.05132,1.05314,111918,0,0
3890,2022-06-22,1.05316,1.06056,1.04689,1.05647,134998,0,0
3891,2022-06-23,1.05647,1.0581,1.04827,1.05194,165338,1,0
